文化名,発祥時代,概要説明,当事者,背景,攻撃,切り返し,評価ポイント,用語解説,引用元情報,編集方針
都々逸,江戸時代末期,七七七五の音律に乗せて男女の恋愛や人情の機微を三味線と共に唄い上げる庶民的な俗曲,嫉妬に狂う女性 と 心当たりのある男性,遊里や色街において恋愛関係の縺れは日常茶飯事であり感情のままに刃傷沙汰に発展することも少なくない危険な人間関係,男性が他の女性に心変わりをしたことに対して女性が怒り狂い相手を激しく罵倒して感情的なデスマッチを仕掛けようとする修羅場,怒りを直接ぶつける代わりに「諦めましたよどう諦めた諦め切れぬと諦めた」と自身の矛盾する複雑な感情を七七七五の定型に押し込めて唄う,殺意すら伴う激しい嫉妬を韻律の美しい詩的表現へと昇華させることで自身の感情を客観視し相手にも美的な感嘆を与えて対立を沈静化させる芸術的処理,遊里 江戸時代に公許された遊女が集まる歓楽街 俗曲 江戸時代の大衆の間で流行した三味線伴奏の歌謡,江戸末期に都々逸坊扇歌が確立した都々逸の代表的な歌詞に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
都々逸,江戸時代末期,七七七五の音律に乗せて男女の恋愛や人情の機微を三味線と共に唄い上げる庶民的な俗曲,貧しい生活を送る庶民 と 裕福な権力者,厳格な身分制度と経済格差が存在し富める者が貧しい者を見下すという構造的なマウントが社会に蔓延していた,裕福な者が金や権力を誇示し貧しい者の質素な生活をみすぼらしい惨めだと直接的あるいは間接的に嘲笑し精神的に追い詰める状況,「恋に焦がれて鳴く蝉よりも鳴かぬ蛍が身を焦がす」と唄い口数少なく耐え忍ぶ者の方にこそ深い情熱や美しさがあるという価値観を提示する,経済的な劣位という変えられない現実に対して騒がしい金持ちを蝉に無口な貧者を蛍に見立て美意識の次元で価値を逆転させ精神的な優位を確保する知性,都々逸坊扇歌 都々逸の創始者とされる幕末の寄席芸人,江戸時代の大衆の心性を表す都々逸の代表的な表現に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
都々逸,江戸時代末期,七七七五の音律に乗せて男女の恋愛や人情の機微を三味線と共に唄い上げる庶民的な俗曲,接客業の女性 と 嫌な客,客商売において金を払う客は絶対的な存在でありどれほど無作法であっても表面上は笑顔でもてなさなければならない労働の苦痛,客が横柄な態度をとったりしつこく絡んだりして働く側の尊厳を傷つけながら長居し精神的な疲労を一方的に強いるストレスフルな環境,客を追い出すことはせず帰った後に「いやなお客の帰ったあとは掃かぬ座敷が清清し」と嫌悪感をユーモラスな毒舌として七七七五で吐き出す,権力関係による現場での絶対的な抑圧を労働者同士の共感を呼ぶ洗練されたブラックユーモアへと変換し不満を笑いで浄化して自己の尊厳を回復する防衛機制,座敷 客を招き入れるための和室,江戸時代の水茶屋や遊里で働く人々の間で詠まれたとされる都々逸に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
替え歌,江戸時代から幕末,流行している民謡や俗曲のメロディに本来とは全く異なる社会風刺や皮肉を込めた歌詞を乗せて歌う大衆の表現手法,抑圧された庶民 と 幕府や藩の権力者,幕末の動乱期において物価の高騰や政治の腐敗が進行する一方で権力への直接的な批判は厳しく弾圧される言論統制の時代,幕府が庶民の生活を顧みず重税を課したり無能な政策を強行したりして社会全体に極度の不満と閉塞感が蔓延し暴動の一歩手前まで追い詰められる状況,官軍の行進曲であった「宮さん宮さん」などの流行歌の歌詞を書き換え幕府の敗北や役人の無能さを滑稽に描いた替え歌として匿名で市中に流行させる,武力による決死の反乱ではなく誰もが知るメロディに権力者を茶化す言葉を乗せて集団で歌うことで政治的な絶望を極上のエンタメに変換し権威を完全に失墜させる痛快な情報戦,宮さん宮さん 幕末に新政府軍が歌ったとされる日本初の軍歌でトンヤレ節とも呼ばれる 言論統制 権力者が自分たちに不都合な思想や表現を力で押さえつけること,幕末期に市中で流行した落首や流行歌の替え歌に関する歴史記録に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
替え歌,江戸時代から幕末,流行している民謡や俗曲のメロディに本来とは全く異なる社会風刺や皮肉を込めた歌詞を乗せて歌う大衆の表現手法,貧しい長屋の住人 と 悪徳な大商人,一部の商人が米の買い占めなどを行い莫大な富を築く一方で多くの庶民が飢えや貧困に苦しむという深刻な経済的格差と怨嗟,商人が飢饉の最中にも関わらず蔵に米を溜め込み庶民の足元を見て値段を釣り上げさらなる富を搾取しようとする非道な経済的マウント,打ちこわしなどの暴力に訴える前に祭りなどで歌われる陽気な盆踊り唄の節に合わせてその商人の強欲な振る舞いを卑猥な言葉や動物に例えて歌い踊る,経済的な搾取という理不尽な暴力に対して相手の人格をコミカルな悪役へと引きずり下ろす替え歌の連呼により共同体の鬱憤を笑いで止揚し精神的な連帯を保つ仕組み,打ちこわし 江戸時代に米価の高騰などに苦しむ民衆が米屋などの商家を襲撃し破壊した暴動,江戸時代の大飢饉の際に民衆の間で自然発生的に歌われた風刺歌の記録に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
替え歌,江戸時代から幕末,流行している民謡や俗曲のメロディに本来とは全く異なる社会風刺や皮肉を込めた歌詞を乗せて歌う大衆の表現手法,寺子屋の子供たち と 厳格な師匠や親,儒教的な道徳観に基づく教育が重視され子供たちは大人から立派な人間になれというプレッシャーと厳しい規律を押し付けられていた,大人が教訓の書かれた真面目な唱歌や暗唱用の文章を子供に強制し少しでも間違えれば体罰を与え子供の自由な発想を型にはめようとする抑圧的な教育環境,大人の前では真面目に歌うふりをしつつ子供同士の遊び場ではその高尚な歌詞を排泄物や間抜けな行動に置き換えた下品な替え歌として大合唱する,大人の押し付ける権威的な道徳の枠組みをリズムとタブー語の融合によって無効化し直接反抗することなく子供だけの自由な精神的領域を確保する高度な自己防衛,唱歌 学校や教育機関で教えられる歌曲 儒教 中国発祥の倫理学で目上の者を敬うことを強く説く,江戸時代から近代にかけての童謡の変遷と子供たちの遊び文化を記録した民俗学史料に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
阿呆陀羅経,江戸時代末期から明治時代,僧侶の読経のリズムに乗せて世相風刺や滑稽な事象を早口で歌い上げる大道芸で木魚の代わりに扇子で拍子木を叩きながら演じられた,日々の生活に疲弊する庶民 と 権威を笠に着る僧侶や役人,幕末から明治維新にかけての価値観の転換期において旧来の宗教的権威や新しい政治体制に対する民衆の不満が鬱積していた,僧侶が難解な経典を唱えて大衆を精神的に支配しようとしたり役人が新しい法律を盾に威圧的な態度でマウントを取ろうとする抑圧的な状況,お経の荘厳なリズムとメロディを完全に模倣しながらあほだらきょうというふざけた響きに乗せて権力者の偽善や好色さを俗悪な言葉で暴露して歌い上げる,宗教的なデスマッチや政治的な抑圧に対して正面から反発せず相手が用いる神聖なフォーマットそのものをハックし下世話な笑いへとアウフヘーベンする知性,阿呆陀羅経 幕末から明治にかけて流行した願人坊主などの大道芸人が始めた俗謡 願人坊主 寺に属さず街頭で修行や芸をして門付を行った半僧半俗の人々,明治時代の風俗を記録した世相史料や大道芸に関する民俗学の研究書に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
阿呆陀羅経,江戸時代末期から明治時代,僧侶の読経のリズムに乗せて世相風刺や滑稽な事象を早口で歌い上げる大道芸で木魚の代わりに扇子で拍子木を叩きながら演じられた,口うるさい姑 と 虐げられる嫁,封建的な家族制度の中で嫁は絶対的な服従を強いられ家庭内の理不尽な抑圧に対して声を上げる手段を持たなかった,姑が家風に合わない働きが悪いと一方的な価値観を押し付け嫁に対して延々と感情的な説教による減点マウントを続ける息苦しい日常,直接言い返すのではなく阿呆陀羅経の軽快な拍子に合わせて姑の理不尽な言動や滑稽な失敗を第三者に向けてリズミカルに並べ立てて笑い飛ばす,閉鎖的な家庭内の権力闘争を大道芸という開かれたエンターテインメントの枠組みに落とし込むことで当事者の怒りを相対化し不毛な争いをつぶす仕組み,門付 家々の門口に立って音曲や芸能を演じ金品を乞う行為,江戸末期から明治にかけて出版された俗謡集や阿呆陀羅経の台本録に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
阿呆陀羅経,江戸時代末期から明治時代,僧侶の読経のリズムに乗せて世相風刺や滑稽な事象を早口で歌い上げる大道芸で木魚の代わりに扇子で拍子木を叩きながら演じられた,伝統的な生活を送る庶民 と 西洋化を推進する知識人,文明開化の号令の下で西洋の文化が急速に流入し伝統的な価値観と新しい西洋的価値観の間で激しい文化摩擦が生じていた,西洋かぶれの知識人がちょんまげは野蛮だ牛肉を食えと新しい価値観を絶対的な正義として振りかざし古い生活様式を野蛮だと見下す状況,洋服を着て気取っている知識人が実は西洋のマナーを全く理解しておらず滑稽な失敗を犯す様をお経の節に乗せて皮肉たっぷりに描写し大衆の爆笑をさらう,急激な近代化による価値観の押し付けという社会の分断を伝統的な仏教音楽のパロディというフィルターを通して笑いに変換し心理的ストレスを調和させる技術,文明開化 明治時代初期に西洋の制度や文化が急速に取り入れられ人々の生活が大きく変化した現象,明治初期に流行した散切り頭を風刺する阿呆陀羅経の歌詞に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
寄席の大喜利,江戸時代後期から明治時代,寄席の最後の演目として複数の演者が並び観客からのお題に対して当意即妙の機知や言葉遊びを競う集団即興演芸,意地悪な難題を出す観客 と 高座に並ぶ落語家たち,寄席に集まる観客は単に話を聞くのではなく演者の力量を厳しく評価する目を持っており知的な真剣勝負の対戦相手という側面があった,観客が演者を困らせて優位に立とうと全く関連性のない二つの事象を提示しそれらを掛けて何と解くと強引な論理の構築を要求する知的なデスマッチ,演者が即座にその心はと全く別の文脈を持つ同音異義語や掛詞を用いて二つの事象を鮮やかに結びつけ論理的な謎解きを完成させる,相手の悪意ある難題による減点マウントの試みを瞬時の連想力によってユーモアの加点へと移行させ不毛な争いを観客全体の知的興奮へとアウフヘーベンする芸の力,大喜利 寄席の最後のプログラムで出演者が総出で行う余興 なぞかけ ＡとかけてＢと解くその心はＣという形式の言葉遊び,明治時代から大正時代にかけての寄席の速記録や落語家の芸談に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
寄席の大喜利,江戸時代後期から明治時代,寄席の最後の演目として複数の演者が並び観客からのお題に対して当意即妙の機知や言葉遊びを競う集団即興演芸,失敗をした演者 と それを嘲笑しようとする他の演者や観客,複数の演者が同時に舞台に上がるため一人の発言ミスや言葉の詰まりが即座に座全体の進行を止める致命的なエラーとなり得た,一人の演者がお題に対する答えに窮したり見当違いな発言をした際に周囲の演者がそれを捉えて激しく非難し笑い者にしようと一斉に攻撃を仕掛ける場面,追い詰められた演者が自身の失敗そのものを自虐的な笑いに変換したり非難してきた相手の言葉尻を捉えてさらに巧妙なダジャレで反撃して座布団を奪い返す,コミュニティ内でのミスに対する集団リンチ的な攻撃を当意即妙の切り返しによってルール化されたゲーム内のエンタメへと昇華させ対立の火種をつぶす構造,高座 寄席において演者が芸を披露するために一段高く設けられた座席 座布団 大喜利において優れた回答をした者に与えられる評価の証,近代の寄席演芸史における大喜利の進行記録や芸人の回顧録に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
寄席の大喜利,江戸時代後期から明治時代,寄席の最後の演目として複数の演者が並び観客からのお題に対して当意即妙の機知や言葉遊びを競う集団即興演芸,社会の矛盾に不満を持つ演者 と 取り締まりを行う警察や役人,明治以降も警察による寄席の監視は厳しく直接的な政府批判や風紀を乱す発言は興行停止などの厳しい処罰を受ける危険があった,臨検席と呼ばれる警察官の専用席から役人が目を光らせ演者が少しでも体制に批判的な言葉を発すれば即座に権力によって発言を封殺しようと圧力をかける状況,演者同士が直接的な批判用語を一切使わず歴史上の出来事や花鳥風月に関する隠語や地口を連発しながら背後にある政治的事件の矛盾を暗に描き出し観客と密かに共有する,圧倒的な権力による言論弾圧という絶望的な対立構造に対し言語の多義性とコンテクストの共有という高度な暗号技術を用いて表現の自由を死守する知恵,臨検席 警察官が興行の内容を監視するために寄席などの客席の後方に設けられた特等席 地口 言葉の音韻を似た別の言葉に置き換える言葉遊び,明治期の警察機構による寄席取締規則および当時の風刺演芸の記録に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
雑誌の投稿欄,明治時代から昭和初期,雑誌の読者投稿コーナーにおいて読者同士や編集者と読者が活字を通じて知的なユーモアや風刺を競い合った近代の文字文化,投稿者 と 権威的な編集者,活字メディアが知識階級の特権から大衆へと広がる中で編集者と読者の間に知識や教養を巡る非対称な権力関係が存在した,編集者が読者の投稿に対して陳腐だ面白くないと権威的な立場で厳しい批評を行い活字上で容赦ない減点マウントをとる場面,投稿者が次号でその編集者の酷評自体をパロディ化した見事な風刺文を投稿し編集者の権威を笑いのネタとして取り込む,権威による一方的な見下しに対する反発をユーモアで包み不毛な争いを読者全体を巻き込んだエンターテインメントへとアウフヘーベンする知性,投書欄 雑誌や新聞で読者の意見や作品を掲載する枠組み パロディ 相手の文体や特徴を模倣しつつ滑稽に改変する表現手法,明治から大正期の総合雑誌や文芸誌における読者欄の記録に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
雑誌の投稿欄,明治時代から昭和初期,雑誌の読者投稿コーナーにおいて読者同士や編集者と読者が活字を通じて知的なユーモアや風刺を競い合った近代の文字文化,異なる思想を持つ読者同士,政治や社会問題に関するイデオロギーの対立が激しく活字空間が言論のデスマッチの舞台になりやすい時代背景,相手の主張の論理的矛盾を徹底的に突き激しい言葉で論破しようと攻撃的な論陣を張り相手を屈服させようとする状況,相手の論理を真っ向から否定せずその論理を極端に推し進めて滑稽な結論を導き出す皮肉たっぷりの小話を投稿して応戦する,イデオロギーの対立という不毛な争いを文学的なユーモアで止揚し熱狂する議論に冷や水を浴びせて相対化する技術,イデオロギー 政治的または社会的な思想傾向や信念の体系,大正から昭和初期の言論誌における読者同士の論争の記録に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
雑誌の投稿欄,明治時代から昭和初期,雑誌の読者投稿コーナーにおいて読者同士や編集者と読者が活字を通じて知的なユーモアや風刺を競い合った近代の文字文化,社会の理不尽に直面する市民 と 政治権力,権力者が市民の生活を圧迫するような悪法や政策を押し付ける一方で直接的な体制批判は検閲により弾圧される抑圧的な社会,言論統制が敷かれる中で政治の腐敗や役人の無能さに対する市民の鬱憤が限界に達し暴動や対立の火種がくすぶっている状況,直接的な批判の言葉を避け川柳や狂歌の形式を用いて政策の矛盾をユーモラスに皮肉る投稿を新聞や雑誌の読者欄に送り続ける,権力による弾圧を避けるため怒りを笑いに変換し検閲の網をすり抜けながら社会の対立をユーモアで可視化してガス抜きをする仕組み,川柳 五七五の音律で人情や社会を滑稽に詠む定型詩 検閲 出版前に権力が内容を確認し不都合なものを削除すること,昭和初期の新聞や雑誌における風刺川柳および投稿欄の記録に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
ネタハガキ,昭和中期から平成,深夜ラジオ番組などにリスナーがハガキでネタを投稿しパーソナリティとリスナーの間で高度な笑いの共同体を構築した現代の大衆文化,深夜ラジオのパーソナリティ と ハガキ職人,マスメディアの送り手と受け手という明確な区別がある中で深夜という解放された時間帯特有の親密なコミュニケーション空間が形成された,パーソナリティが番組の面白さのためにリスナーの生活の惨めさや容姿を嘲笑しマスメディアの力を使って権力的なマウントを取る場面,リスナーが自らの惨めなエピソードを極限まで誇張した自虐ネタとして投稿しパーソナリティに読ませて逆転の爆笑を奪う,一方的な見下しに対して自虐というユーモアで返すことで相手の攻撃を無力化し不毛な対立関係を番組を作る共犯関係へと昇華させる,ハガキ職人 ラジオ番組などに頻繁にネタハガキを投稿し採用される常連リスナー 自虐 自分の弱点や失敗を意図的に笑いのネタにすること,昭和後期から平成初期の深夜ラジオ番組の投稿コーナーにおける放送記録に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
ネタハガキ,昭和中期から平成,深夜ラジオ番組などにリスナーがハガキでネタを投稿しパーソナリティとリスナーの間で高度な笑いの共同体を構築した現代の大衆文化,番組内でしのぎを削るハガキ職人同士,限られた採用枠を巡って常連リスナー同士が激しい競争を繰り広げ自身の知的優位性を証明しようとする承認欲求の場,他の職人のネタがつまらないと貶めたり相手の採用数に嫉妬して他者への減点マウントを取ろうとする陰湿な対立が生じそうになる状況,相手のネタのフォーマットや設定を借用しながら全く異なる視点でさらに鮮やかなオチをつける被せネタを投稿して番組の質を上げる,ライバルへの敵意を直接ぶつけるのではなくより高度なユーモアによる加点競争へと移行させ争いを番組全体の盛り上がりへとアウフヘーベンする知性,被せ 前の人の発言やネタの文脈を利用してさらに笑いを増幅させるテクニック 承認欲求 他者から認められたいという欲求,ラジオ雑誌等に記録されたハガキ職人同士の交流や投稿バトルに関する証言に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
ネタハガキ,昭和中期から平成,深夜ラジオ番組などにリスナーがハガキでネタを投稿しパーソナリティとリスナーの間で高度な笑いの共同体を構築した現代の大衆文化,抑圧されている若者 と 学校や社会の理不尽な権威,教師や上司が権力を振りかざして理不尽な校則やルールを押し付け若者の自由や個性を制限する息苦しい日常のストレス,大人たちが絶対的な正義として振る舞い若者の反論を許さず理不尽な命令や説教で精神的に抑圧してくる逃げ場のない対立構造,その理不尽な状況そのものをあるあるネタや架空の法律などの大喜利フォーマットに変換してラジオに投稿し全国のリスナーと笑いを共有する,現実の絶対的な権力構造に対する怒りを匿名空間の笑いへと変換し不毛な反抗をつぶして精神的な優位性と連帯感を保つ防衛機制,あるあるネタ 日常生活で多くの人が経験し共感できる些細な出来事や理不尽な状況を笑いにする手法,深夜ラジオにおける学校や社会への不満をテーマにした投稿コーナーの傾向に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
ネット大喜利,平成後期から令和,インターネット上の掲示板やSNSにおいて匿名で出題と回答を行い評価を競い合うテキストベースの即興ユーモア文化,SNS上で議論をするユーザー同士,インターネットの普及により誰もが発信者となった結果価値観の相違からSNS上で日々無数の対立や炎上が発生する環境,特定の話題について相手の些細な言葉のミスを非難し合い他者への減点マウントを目的としたデスマッチが泥沼化しエスカレートする状況,議論の参加者や第三者が間に入って論点とは関係のない秀逸なボケやなぞかけを投下して議論の文脈を強制的にユーモアでアウフヘーベンしていく,SNS特有の感情的対立の間に分け入り議論を笑いの土俵へと移行させることで不毛な争いをつぶしていく現代の情報戦術,レスバトル インターネット上の掲示板やSNSにおいて双方が相手を論破しようと激しく言い争うこと なぞかけ 複数の事象の共通点を掛けて解く言葉遊び,現代のSNSにおける炎上回避や大喜利化の事例およびユーザー行動の観察に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
ネット大喜利,平成後期から令和,インターネット上の掲示板やSNSにおいて匿名で出題と回答を行い評価を競い合うテキストベースの即興ユーモア文化,大喜利サイトの回答者 と 難解なお題を出す出題者,オンラインの大喜利プラットフォームにおいて出題者と回答者の間でいかに面白い回答を引き出すかという知的なゲームが成立している,出題者が回答者を困らせて優位に立とうと全く脈絡のない画像を組み合わせたり理解不能な不条理なシチュエーションを提示してくる場面,回答者がその不条理なお題の裏をかき独自の論理で筋の通った滑稽なストーリーを構築し一つの完璧な作品として回答を完成させる,出題者の悪意あるマウントに対して相手を論破するのではなく回答の美しさというユーモアの加点で応じ対立を共同の創作活動へと止揚するゲーム性,ボケ インターネット大喜利において論理の飛躍や意外な視点を用いて笑いを生み出す回答技術 大喜利 お題に対して気の利いた面白い回答を提示する遊び,ボケて等のネット大喜利プラットフォームにおける投稿形式と評価システムに基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
ネット大喜利,平成後期から令和,インターネット上の掲示板やSNSにおいて匿名で出題と回答を行い評価を競い合うテキストベースの即興ユーモア文化,SNSで攻撃的な発言をする者 と ターゲットにされた者,顔の見えない匿名の相手から突然攻撃を受けるリスクが常に存在し感情的に反応すればさらに相手を喜ばせてしまう非対称なコミュニケーション,相手の文脈を無視した的外れな批判や悪意に満ちた誹謗中傷のリプライが届き感情的なダメージを与えられ争いに引きずり込まれそうになる状況,怒りや反論で応じるのではなくその批判の言葉を大喜利のお題と見なし頓知の効いたユーモラスな返信をして相手を完全に煙に巻く,悪意のある攻撃に正面から向き合うという不毛な争いを拒否し自身の知性を証明する大喜利の舞台へと変換することで対立を無効化する,クソリプ SNSにおいて文脈を無視したり見当違いな非難を含んだりする不快な返信 クソリプライの略 頓知 その場に応じて即座に出る機転の利いた知恵,現代のSNSにおける著名人や一般ユーザーのユーモアを用いた切り返しの実例に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
写真で一言,昭和後期から現代,提示された無関係な写真に対して全く別の文脈の言葉を添えることで写真の意味を強制的に書き換え笑いを生み出す現代の大喜利文化,投稿者や回答者 と 出題者や写真の被写体,情報化社会において画像や映像が溢れかえる中 視覚情報の持つ固定化された意味に対する大衆の無意識の飽きと破壊願望が存在した,相手が「この写真はこういう意味だ」と固定観念を押し付けたり 威圧的な人物の写真を提示して視覚的な圧力でマウントを取ろうとする状況,写真の人物の表情や背景の微細な違和感をすくい取り 全く関係のない日常の不満や間抜けな台詞を当てはめてユーモアでアウフヘーベンする,視覚的な権威や固定観念という抑圧を言葉の力によってずらし 不毛な意味の押し付け合いをつぶして新たな視点を提供する知性,IPPONグランプリ 写真で一言をメジャーな競技に押し上げたテレビ番組 VOW 街中の変な看板などの写真にツッコミを入れる雑誌の投稿コーナー,現代のお笑い番組や雑誌の投稿コーナーにおける写真大喜利の形式に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
写真で一言,昭和後期から現代,提示された無関係な写真に対して全く別の文脈の言葉を添えることで写真の意味を強制的に書き換え笑いを生み出す現代の大喜利文化,SNSユーザー と 炎上を煽る者,政治家や有名人の失言やスキャンダル写真が瞬時に拡散され 感情的な非難や怒号が飛び交う殺伐としたインターネット空間,炎上を煽る者が対象者の写真をさらし上げ「こいつを叩け」と集団リンチ的なデスマッチを仕掛け 人々の憎悪を増幅させようとする場面,対象の深刻な写真をゲームのバグ画像やアニメのワンシーンに見立てた一言を添え 炎上の文脈を強制的にギャグの世界へ転換させる,感情的なバッシングという不毛な争いの間にユーモアという緩衝材として入り込み 憎悪の連鎖を笑いでつぶしていく情報コントロール術,炎上 SNS等で特定の人物に対して非難が殺到する状態 バッシング 特定の個人や団体を激しく非難し叩くこと,現代のSNSにおける炎上写真へのユーモアによる鎮火事例に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
写真で一言,昭和後期から現代,提示された無関係な写真に対して全く別の文脈の言葉を添えることで写真の意味を強制的に書き換え笑いを生み出す現代の大喜利文化,日常生活に疲れた者 と 抑圧的な環境,学校や職場での厳しい規律や単調な日常業務によって 人々の間に無力感やストレスが蓄積しやすい現代社会,日常の中で遭遇する理不尽な上司の態度や絶望的なミスなど 自身の尊厳を削られるような逃げ場のない心理的圧迫状況,その理不尽な状況を写真に撮り まるで映画の予告編のような壮大な一言を添えてSNSに投稿し 自身の悲惨さを客観視する,圧倒的なストレスに対して真正面から苦しむのではなく 視点を変えてエンタメへとアウフヘーベンし 精神的な自己防衛を成功させる技術,自己防衛 ストレスや危険から自分自身の心身を守ろうとする心理的な働き 客観視 自分自身の状況を第三者の視点から冷静に見つめ直すこと,SNS等で日常の失敗をユーモアに変換する一般ユーザーの投稿事例に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
縦読み,奈良時代から現代,文章を横に読ませつつ 行の頭文字などを縦に読むと全く別の隠されたメッセージが浮かび上がるように構成する暗号的な言葉遊び,表現者 と 権威者や検閲者,権力者への批判が許されない環境や 表面上の礼儀を保ちながら本音を伝えなければならない複雑な人間関係の摩擦が存在した,上司や権力者が「私の言うことに賛同しろ」と同調圧力をかけ 表面上の服従を強要して絶対的なマウントを取ろうとする息苦しい状況,表向きは相手を絶賛する長文を書きつつ 行の頭を縦に読むと「ばかやろう」などと痛烈な批判になるように文章を練り上げて提出する,権力による言論弾圧という不毛な対立に対して 直接的な反抗を避けながら高度な知性で相手を出し抜き 精神的勝利を収めるゲーム性,折句 和歌で各句の頭文字を繋ぐと別の意味になる修辞法 同調圧力 集団の中で多数派の意見に合わせるよう暗に強制される心理的な圧迫,万葉集の折句から現代のSNSや新聞のテレビ欄における縦読み表現の系譜に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
縦読み,奈良時代から現代,文章を横に読ませつつ 行の頭文字などを縦に読むと全く別の隠されたメッセージが浮かび上がるように構成する暗号的な言葉遊び,ネット掲示板のユーザー と 荒らしや不快な投稿者,匿名掲示板において 攻撃的な言葉や不毛な論争が絶えず 感情的に反論しても泥沼化するだけの言論空間が形成されていた,荒らしと呼ばれるユーザーが 挑発的な言葉で特定の話題を執拗に攻撃し 相手を不毛なデスマッチに引きずり込もうと画策する場面,荒らしの主張に同意するような丁寧な文章を装いつつ 縦読みで相手を皮肉るメッセージを仕込み 荒らし本人には気づかせずに第三者と笑いを共有する,悪意ある挑発に対して感情的なレスバトルで応じることを拒否し 暗号解読のユーモアでアウフヘーベンして争いを未然につぶしていく戦術,荒らし ネット上で意図的に場を乱したり相手を挑発したりする迷惑行為 レスバトル ネット上で互いに論破しようと激しく言い争うこと,インターネットの匿名掲示板におけるユーザー同士の対立回避の手法に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
縦読み,奈良時代から現代,文章を横に読ませつつ 行の頭文字などを縦に読むと全く別の隠されたメッセージが浮かび上がるように構成する暗号的な言葉遊び,スポーツ新聞の編集者 と 競合紙や読者,新聞のラテ欄など 限られた文字数の中で読者の目を引きつけ 他紙との差別化を図らなければならない厳しい部数競争の環境,読者の活字離れが進み 単純な番組紹介では注目されず メディアとしての影響力が低下していくという情報化社会の構造的なプレッシャー,ラテ欄の左端の文字を縦に読むと 番組の裏話やライバル球団へのユーモラスな挑発になるように 限られた枠の中で極限のパズルを構築する,単なる情報伝達の枠組みを 読者との知的な共犯関係を結ぶ遊び場へと変換し メディアの生き残り競争をエンタメへと昇華させる編集技術,ラテ欄 新聞や雑誌に掲載されるラジオやテレビの番組表のこと 活字離れ 人々が本や新聞などの活字媒体を読まなくなる傾向,現代のスポーツ新聞や地方紙のテレビ欄における縦読みの事例に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
空耳,昭和後期から現代,外国語の歌や意味不明な言葉が 全く別の日本語の滑稽なフレーズに聞こえる現象を意図的に見つけ出し映像などを添えて楽しむ文化,音楽リスナー と 権威的な洋楽文化,洋楽が高尚なもの 英語を理解できることが教養の証とされる一方で 言葉の壁に対する大衆の劣等感や反発が潜在的に存在した,音楽通が「この英語の歌詞の深い意味が分からないのか」と知識をひけらかし 言葉の壁を利用して文化的な減点マウントを取ろうとする状況,英語のスタイリッシュな歌詞を「農協牛乳」などの生活感あふれる日本語の響きとして強制的に聞き間違え その滑稽さを堂々と主張する,言語の壁による権威的なヒエラルキーを 聴覚の錯覚を利用した言葉遊びで無効化し 高尚な芸術を下世話な笑いへとアウフヘーベンする知性,タモリ倶楽部 空耳アワーというコーナーで空耳文化を日本中に定着させた深夜番組 洋楽 主に欧米で作られたポピュラー音楽の総称,深夜テレビ番組の投稿コーナーにおける空耳ネタの形式に基づく,史実および原典に基づき 中高生が理解しやすいよう現代語訳および一部表現を加筆修正しています
