象限,対象国,類型,事象・噂の名称,実践内容・信じられている内容,社会的機能,心理的効果,[事実確認]学術的背景・反証,事例1：状況,事例1：表現,事例1：分析,事例2：状況,事例2：表現,事例2：分析,事例3：状況,事例3：表現,事例3：分析
第2象限,エリトリア,【事実】,「Tegadelti（解放戦士）」のレキシコン（独立闘争語彙）の日常化,30年に及ぶエチオピアからの独立戦争を戦った戦士たち（Tegadelti）が使用していたマルクス主義的・軍事的な語彙が、独立後の一般社会で精神的な連帯や共感を表す言葉として定着した現象。,国民に対し「我々は今も終わらない闘争（国造り）の中にある」という意識を共有させ、国家への忠誠と仲間内の強固な連帯感（ナショナリズム）を維持する。,過去の英雄的な独立戦争の神話に自らを重ね合わせることで、現在の経済的・政治的困難に対する忍耐力を美化し、ロマンチックな誇り（アハ体験）を感じさせる。,EPLF（エリトリア人民解放戦線）が主導した独立戦争のイデオロギーと軍事文化が、独立後の国家建設においてそのまま「公式の国民文化」として移植された社会言語学的背景を持つ。,与党（PFDJ）の集会や、国民役務に就く若者同士が同志的連帯を確認する時,Bitzay (同志),元々は左派ゲリラの呼称（Comrade）だが、現在でも「苦難を共にする同胞」という強い結びつきを示す言葉として、公私にわたり深い共感と敬意を込めて使われる。,国際的な経済制裁や、国内の物資不足などの困難について語り合い、互いを励ます時,Mekhete (不屈 / 抵抗),単なる「我慢」ではなく、外圧に対する英雄的な「レジスタンス・抵抗」を意味する。困難を「我々が試されている神聖な試練」へと昇華させる美的な文化的メタファー。,独立後に生まれ、国民役務（兵役等）に従事する若者世代について言及する時,Warsay (継承者),独立を勝ち取った親世代（Yikealo＝万能な者）の遺産を受け継ぎ、国家を防衛・建設する義務を負う若者を指す。世代間の繋がりと責任を美化するイデオロギー的表現。
第3象限,エリトリア,【事実】,エチオピア・エリトリア紛争に起因する歴史的・政治的ヘイトスラング,エリトリア独立戦争から1998年の国境紛争、さらには最近のティグレ紛争に至る過程で、両国の政治的対立や民族的差異を背景にして生み出された相手を非難・キャンセルするための直接的な蔑称。,仮想敵国（特にエチオピアやティグレ州）の脅威を煽ることで国内の不満を外部に逸らし、野党勢力や反体制派を「外国の回し者」として社会から排除する。,「自国はつねに裏切り者や野蛮な隣国によって脅かされている」という被害者意識を固定化し、他者への攻撃性を正当化する。,アフリカの角地域における複雑な国境線の画定問題と、EPLFとTPLF（ティグレ人民解放戦線）というかつての共闘組織同士の決裂という歴史的・政治的事実に基づく。,エチオピアのティグレ人を侮蔑する時、あるいは国内の素行が悪い人間を罵る時,Agame (アガメ),元々はエチオピア・ティグレ州の国境地帯の地名だが、かつてエリトリアに日雇い労働に来ていた貧しいティグレ人を指す言葉から転じ、「卑しい奴」「裏切り者」という強烈な民族的スラーとなった。,政府批判をする海外ディアスポラや反体制活動家を非難・キャンセルする時,Woyane (ウォヤネ),エチオピアのTPLF（ティグレ人民解放戦線）を指す言葉だが、エリトリア国内では「TPLFの手先」「国家の裏切り者」というレッテルとして機能し、一切の政治的異論を封殺するために濫用される。,歴史を振り返り、エチオピア軍（デルグ政権）とエリトリア兵の戦いを語る時の対比,Wembere (山賊 / 盗賊),エチオピア軍側がエリトリア独立派を「単なる山賊（Wembere）」と呼んで正当な交戦権を否定したのに対し、エリトリア側は自らを「獅子（Ambesa）」と呼び、言語空間での正当性獲得の闘争を繰り広げた。
第4象限,エリトリア,【事実】,噂の震源地「Bado Seleste（03）」の暗躍（情報統制下でのガス抜き）,極めて厳格な情報統制下（報道の自由度ランキング世界最下位レベル）にあるエリトリアにおいて、市民が「03（バド・セレステ）によると…」という前置きをつけて、希望的観測や政治的風刺、出所不明の噂話を語る口コミ文化。,政府の公式発表（プロパガンダ）が信用できない中で、代替的な情報共有ネットワークとして機能し、同時に「単なる噂にすぎない」という建前で密告のリスクを回避する。,抑圧的な現実（いつ兵役が終わるか分からない等）に対する不安を、「03がこう言っていた」というジョークや都市伝説的な噂に変換することで、心理的なガス抜きを図る。,独立戦争時代、EPLFの軍事情報・プロパガンダ部門のコードネームが「03」であったことに由来する。現在ではそれが転じて「路上情報のハブ（あるいは無責任なデマの発生源）」の代名詞となっている。,サワ（軍事訓練キャンプ）で、無期限の兵役に対する不安を紛らわすために除隊の噂を流す時,"According to 03, we are getting released next month. (03の情報によると、来月には除隊らしいぞ)",全く根拠のない希望的観測だが、「03」という権威めいた（しかし実体はない）主語を使うことで、絶望的な状況下での一種のエンターテインメントや精神安定剤として消費する。,友人が大袈裟な話をしたり、政府のプロパガンダをそのまま信じているのを嘲笑う時,"Don't listen to him, that's just 03 talking. (あいつの言うことは聞くな、ただの03の戯言だ)",真実が誰にも分からない社会において、情報そのものの信憑性を冷笑的に捉え、深刻な状況をユーモアで乗り切るためのメタ認知的なツッコミ。,国境の開放や経済制裁の解除など、口に出すのが危険な政治的願望を語り合う時,03 says the border will open tomorrow. (03によると明日には国境が開くらしい),直接的に政府に政策変更を要求することは不可能であるため、「03が流した噂」というフィクションの形をとることで、権力に対する間接的な不満の表明と期待の共有を行う。
第1象限,ジブチ,,NO_DATA,,,,,,,,,,,,,
第2象限,ジブチ,,NO_DATA,,,,,,,,,,,,,
第3象限,ジブチ,,NO_DATA,,,,,,,,,,,,,
第4象限,ジブチ,,NO_DATA,,,,,,,,,,,,,
第1象限,ソマリア,,NO_DATA,,,,,,,,,,,,,
第2象限,ソマリア,,NO_DATA,,,,,,,,,,,,,
第3象限,ソマリア,,NO_DATA,,,,,,,,,,,,,
第4象限,ソマリア,,NO_DATA,,,,,,,,,,,,,
第1象限,エチオピア,【事実】,アムハラ語の厳密な敬語・代名詞体系,相手の年齢や社会的地位に応じて代名詞（T-V distinction）を厳格に使い分ける実践,社会の階層秩序とヒエラルキーの維持,帰属意識と社会的承認、権威への服従,エチオピアの伝統的な階層社会や正教会の権威構造が言語に反映されたもの。敬称・親称の使い分けが社会秩序として機能している。,年長者や目上の人へ直接話しかける状況,???? (Irswo / あなた様),相手に最大限の敬意を示し、社会の階層秩序を維持する。,上司や尊敬する第三者について言及する状況,???? (Isachew / あの方),第三者に対しても複数形由来の敬称を用いることで、その場にいない権威も尊重する。,同輩や目下の者へ話しかける状況,??? (Ante / 男性へ) または ??? (Anchi / 女性へ),対等または目下の者を示す親称を用いることで、ヒエラルキーの相対的な位置関係を明確にする。
第2象限,エチオピア,,NO_DATA,,,,,,,,,,,,,
第3象限,エチオピア,【事実】,現代政治における分断と非難のレッテル,内戦や民族対立の中で、敵対勢力を歴史的・政治的用語で非難・キャンセルする実践,特定の階層や集団を非難・キャンセルし、政治的動員を図る,敵対心やスケープゴートへの攻撃を通じた内部の結束,2020年以降の国内紛争において、SNSやメディアを通じて急速に普及したプロパガンダやヘイトスピーチの研究に基づく。,アムハラ系の歴史的支配を非難・攻撃する状況,ネフテニャ (Neftenya / 元々は「銃を持つ者」の意),19世紀の帝国時代の入植者を指す言葉を、現代のアムハラ人全体への民族的スラーとして転用し分断を煽る。,政府支持派がティグレ人民解放戦線（TPLF）を非難する状況,ジュンタ (Junta / 軍事政権・派閥),TPLFを正当な政治集団ではなく「破壊的な武装派閥」として定義し、キャンセル・討伐を正当化する。,政府が反政府武装勢力を攻撃する状況,シェネ (Shene / OLF-Sheneなど),特定の武装集団をテロリストとしてレッテル貼りし、対話の余地を排除する闘争の言葉。
第4象限,エチオピア,,NO_DATA,,,,,,,,,,,,,
第1象限,ケニア,【事実】,スワヒリ語の敬意表現と挨拶体系,年長者や権威者に対する厳密な挨拶のルールと応答,世代間・階層間のヒエラルキーの維持と確認,帰属意識と社会的承認、または若年層の服従の強制,スワヒリ語圏における年齢階梯制やイスラム的価値観の影響に基づく言語的儀礼。伝統的な尊敬の念が挨拶のやり取りに組み込まれている。,若者が年長者へ挨拶する状況,Shikamoo (シカモー),年長者への絶対的な服従と敬意を明示的に示す（原義は「あなたの足を抱きしめる」）。,年長者が挨拶を返す状況,Marahaba (マラハバ),若者からの敬意を承認し、上の立場から相手を祝福することで社会秩序を維持する。,生徒が教師へ呼びかける状況,Shikamoo mwalimu (先生、シカモー),学校という制度的空間において、教師の権威を言語的に固定化し秩序を守る。
第2象限,ケニア,【事実】,ナイロビの若者言葉「Sheng（シェン）」,スワヒリ語、英語、現地語を混合した都市部の隠語・スラング,ストリートの若者同士の連帯、外部者（警察や親世代）の排除,アハ体験、仲間内での優越感や共感,1970年代のナイロビ東部のスラム街で自然発生したクレオール的言語実践であり、社会言語学の研究対象として確立している。,警察官などの権力者を警戒して仲間内で話す状況,Karao (カラオ),警察を指す隠語を用いることで、外部の脅威を排除し仲間内の連帯を高める。,お金やビジネスの生々しい話をする状況,Chapaa (チャパア),経済活動の生々しさを隠語で軽く表現し、ストリートの連帯感を生む。,魅力的な女性について身内で語る状況,Manzi (マンジ),既存のスワヒリ語規範（Msichana）を避け、ストリート独自の美意識と共感圏を形成する。
第3象限,ケニア,【事実】,2022年大統領選挙における分断の政治用語,政治家やメディアが支持者と敵対者を二極化するために用いたレッテル貼り,特定の階層や集団を非難・キャンセルし、政治的動員を図る,特権階級へのルサンチマンの煽動、または敵対心,W.ルト陣営が用いたフレーム。ケニア政治においてエスニックな対立から「階級的対立」へと言説が変化した象徴的事例として分析される。,エリート世襲政治家を批判・非難する状況,Dynasties (ダイナスティ / 王朝・世襲一族),独立後から権力を握る一族を「特権階級」として名指し、非難と分断を煽る。,庶民層を鼓舞し、エリートと対立させる状況,Hustlers (ハスラー / 苦労して稼ぐ庶民),自らを不遇だが勤勉な層と定義し、特権階級への怒りを正当化する闘争の言葉。,敵対する政治派閥の遊説を揶揄する状況,Tanga Tanga (タンガタンガ / 目的なくうろつく),大統領が副大統領陣営を非難した言葉を逆手に取り、または揶揄として固定化した闘争用語。
第4象限,ケニア,【都市伝説】,日常の苦難をユーモアに変える民間語源・言葉遊び,貧困や都市生活の厳しさを、ウィットに富んだ語源解釈やバクロニムで笑いに変えて語り継ぐ実践,社会的・経済的不満のガス抜き、制約の遊戯的昇華,苦境を笑い飛ばすことによるストレス軽減とカタルシス,都市民俗学において、経済的困窮やインフラの不備を言語的ユーモアによって乗り越えるサバイバル戦略として分析される。,給料日前の質素な食事について語る状況,Sukuma wiki (スクマウィキ / ケール類),直訳の「1週間（wiki）を押し延ばす（sukuma）」という言葉遊びで、貧困の苦しさを笑いに変える。,危険なバイクタクシーの由来を語る状況,Boda Boda (ボダボダ),「Border to Border（国境から国境へ）」というダイナミックな偽語源（または民間語源）で、インフラの欠如をロマンティックに語り継ぐ。,詰め込みすぎの乗合バスの運賃について語る状況,Matatu (マタツ),スワヒリ語の「3 (tatu)」に由来し、昔の運賃が3セントだったという伝説を語ることで、カオスな交通機関に親しみを持たせる。
第1象限,ウガンダ,【事実】,ルガンダ語の敬称とジェンダー的礼儀作法,挨拶時に相手への絶対的な敬意を示すための言葉と身体動作（ひざまずきなど）のセット,社会の階層秩序とジェンダーロールの維持,年長者への敬意の醸成と、規範への服従,ブガンダ王国の強力な王権と家父長制社会に由来する、厳格な階層・ジェンダー規範の言語的表出。,目上の男性や客人に挨拶する状況,Ssebo (セーボ / 男性への敬称),相手の男性としての権威を認め、社会の階層秩序を守る。,目上の女性に挨拶する状況,Nnyabo (ニャーボ / 女性への敬称),女性の年長者に対する敬意を示し、コミュニティ内の秩序を維持する。,女性が目上の人に挨拶をする状況,Otyanno（ごきげんよう）と言いながらひざまずく (Okufukamira),言葉と身体的服従（ひざまずき）を組み合わせることで、伝統的なジェンダーと年齢のヒエラルキーを体現する。
第2象限,ウガンダ,,NO_DATA,,,,,,,,,,,,,
第3象限,ウガンダ,,NO_DATA,,,,,,,,,,,,,
第4象限,ウガンダ,【都市伝説】,カンパラのストリートにおけるバクロニムと民間語源,日常の食べ物や乗り物の名前に、英語由来のもっともらしい（しかしユーモラスな）偽語源を与える実践,社会的・経済的不満のガス抜き、制約の遊戯的昇華,苦境を笑い飛ばすことによるストレス軽減とカタルシス,植民地時代の英語の権威と、現地のストリート文化が混交する中で生まれた都市民俗学的な言葉遊び。事実とは異なる民間語源が広く信じられている。,ウガンダの名物屋台飯「ロレックス（Rolex）」の由来を語る状況,Rolexは高級時計ではなく「Rolled eggs（巻いた卵）」が訛ったものだという説,庶民の安価なB級グルメに高級時計と同じ音を持たせ、ユーモアとして消費する。,カンパラ市内の乗合タクシーの乱暴な運転について語る状況,乗合タクシーを「Kamunye（カムニェ / 鷲）」と呼び、客を獲物のようにかっさらうからだとする説,危険で粗っぽい交通機関を猛禽類に例え、都市インフラの過酷さをユーモアを交えて語り継ぐ。,庶民のサバイバル食「キコマンド（Kikomando / チャパティと豆）」の由来を語る状況,映画『コマンドー』のシュワルツェネッガーのように、過酷な状況を生き抜く強さを与える食べ物だからという説,貧困層の質素な食事をハリウッドのアクションヒーローに例え、貧困の苦境を笑いと誇りに変換する言葉遊び。
第1象限,タンザニア,【事実】,敬意表現「シカモー（Shikamoo）」と年齢階層,年下が年長者に対して「シカモー（あなたに足をキスします）」と挨拶し、年長者は「マラハバ（喜んで受け入れます）」と返す絶対的な規範。,厳格な長幼の序と社会的ヒエラルキーの維持。,敬意を示すことによる安心感と、社会的枠組み・共同体への所属感。,アラビア語由来の奴隷制時代の言葉（nashika miguu）が起源とされるが、現在は純粋に年齢や社会的地位に対する敬意を示す標準スワヒリ語の絶対的規範として定着している。,子供が道端で近所の老人に出会った時,"Shikamoo, babu.（おじいさん、シカモー）",血縁関係がなくても、見た目で年長と判断すれば無条件に使用され、社会全体の長幼の序を強化する。,生徒が学校で教師に挨拶する時,"Shikamoo, mwalimu.（先生、シカモー）",知識を授ける権威者としての「教師」という立場への敬意であり、年齢に関わらず社会的地位に対して使われる。,年長者が若者の挨拶に応じる時,"Marahaba, mwanangu.（マラハバ、我が子よ）",挨拶を受け入れ、目下を慈しむパターナリズムの表出であり、この応答セットで初めて社会的関係が成立する。
第2象限,タンザニア,【都市伝説】,「ムズング（Mzungu/白人）」の民間語源,スワヒリ語で白人を意味する「ムズング」の語源が、「道に迷ってウロウロする人（Kuzunguka）」であると広く信じられている。,アフリカの土地に不慣れだった初期のヨーロッパ人探検家を滑稽に描き、現地人の優位性を示すナラティブの共有。,植民地主義の歴史的トラウマをユーモアを交えた民間伝承に変換することでの心理的優位性の確保とアハ体験。,学術的にはバンツー語群の祖語で「霊」や「不思議なもの」を意味する語根に由来するという説が有力だが、一般には「kuzunguka（回る・うろうろする）」から派生したという民間語源（後付けの解釈）が定着している。,観光客が道に迷っているのを見たガイドが冗談めかして説明する時,Wao ni wazungu kweli.（彼らはまさにムズング（迷って回る人）だね）,語源の噂を実際の状況に当てはめ、親しみと軽いからかいを込めて使用する。,日常会話で白人という言葉の由来が話題になった時,Wazungu walizunguka.（ムズングたちはウロウロしたんだ）,歴史的な出来事を、言語の成り立ちという分かりやすいストーリーとして自己流に解釈・消費している。,アフリカ人が見知らぬ土地で道に迷ったと自嘲する時,Leo nimekuwa mzungu.（今日は私がムズング（ウロウロする人）になったよ）,白人を指す言葉を、その民間語源（迷う人）の原義に還元して自らに適用する高度な言葉遊びと連帯。
第3象限,タンザニア,【事実】,政治的非難のレトリック（Fisadi/Kupe）,汚職政治家や搾取層を、ダニなどの寄生虫や絶対悪（破壊者）を示す強い言葉で非難・カテゴライズする実践。,腐敗したエリート層と一般大衆の間に明確な分断線を引き、大衆の怒りと政治的関与を動員する。,共通の敵を設定することによる、抑圧された大衆側のカタルシスと道徳的優位性の獲得。,タンザニアの社会主義（ウジャマー）時代の名残もあり、資本主義的な搾取や汚職に対する言語的糾弾は、メディアや議会において現在でも極めて活発に用いられる修辞技法である。,巨額の公金横領スキャンダルが報じられた時,Mafisadi papa.（巨大な汚職ザメたち）,「Fisadi（破壊者・汚職者）」に「papa（サメ）」を付け、貪欲に国富を食い荒らす巨悪として描写する。,労働者を搾取する資本家や悪徳な雇用主を批判する時,Wao ni kupe.（奴らはダニだ）,ウジャマー時代のイデオロギー用語。他者の労働の成果を吸い取る寄生虫としての強烈な非難。,選挙戦で対立候補の裏切りやスパイ行為を非難する時,Yule ni mamluki.（あいつは傭兵だ）,理念なく金や権力になびく裏切り者として、政治家の信頼性を根本から否定する。
第4象限,タンザニア,【事実】,カンガ布を通じた暗喩の当てつけ「ヴィジェンベ（Vijembe）」,女性が着用する伝統布「カンガ」の裾に印刷された諺（ことわざ）を用いて、直接言えない不満や当てつけを間接的に表現する。,直接的な対立（口論）を避けつつ、コミュニティ内で社会的なメッセージや警告を発信する。,ユーモアと暗喩のベールに包むことで、対人関係の角を立てずに不満をガス抜きするカタルシス。,スワヒリ文化圏の女性特有のコミュニケーション手段として確立しており、文化的規範としての「沈黙」と「表現」を両立させる高度な言語的・視覚的遊戯である。,夫の浮気を疑っているが直接問い詰められない妻が、夫の前でカンガを着る時,Kikulacho ki nguoni mwako.（あなたを噛む虫は、あなたの服の中にいる）,「身内からの裏切り」を意味する諺で、夫に対して「私は気づいている」と暗に警告する。,近所の女性から根も葉もない噂話をされている時、その女性が通る道で布を干す,Maneno maneno ya nini?（なんでそんなにゴタゴタ言うの？）,相手を名指しはしないが、通りがかった当事者には確実に伝わる形での牽制。,貧しいが出世したことを妬む人々に対して,Hasira za mkizi furaha kwa mvuvi.（ムキジ（魚）の怒りは漁師の喜び）,嫉妬して騒げば騒ぐほどこちらの利益になる、と相手の怒りを余裕でかわし昇華するユーモア。
第1象限,ルワンダ,【事実】,牛を介した伝統的挨拶と祝福（Amashyo）,キニヤルワンダ語のフォーマルな挨拶において、「牛（inka）」に関連する語彙を用いて相手の繁栄を祈り合う絶対的な規範。,伝統的な牧畜文化に基づく価値観を共有し、互いの社会的地位への敬意とヒエラルキーを構築する。,最高の財産である「牛」を言及されることで得られる自己重要感と、共同体への帰属感。,ルワンダの伝統社会において牛は富と権力の象徴であり、言語表現の随所に牛のメタファーが組み込まれ、現在でも年長者やフォーマルな場で使用される事実である。,尊敬する相手や年長者に深い敬意を込めて挨拶する時,Gira amashyo.（数え切れぬほどの牛の群れを持ちますように）,単なる「こんにちは」を超え、相手の経済的・社会的な究極の繁栄を祈る最も丁寧で権威ある挨拶。,「Gira amashyo」と挨拶された側の返答時,Amashongore.（[あなたには] 美しい雌牛の群れがありますように）,祝福に対して、さらに価値の高い「乳を出し子を産む雌牛」を願うことで、社会関係上の相手を立てる返答。,親しい友人や、結婚式などで深い祝福を表す時,Gira inka n'abana.（牛と子供に恵まれますように）,富の象徴である「牛」と繁栄の象徴である「子供」をセットで願うのが、ルワンダにおける伝統的かつ究極の祝福表現である。
第2象限,ルワンダ,,NO_DATA,,,,,,,,,,,,,
第3象限,ルワンダ,【事実】,ジェノサイドにおける非人間化の隠語（Inyenzi等）,1994年のジェノサイドにおいて、標的となったツチ族を虫や雑草に例え、殺害行為を「農作業」などの日常語に置き換えて扇動した言語実践。,特定集団から人間性を剥奪し、一般市民に殺害への心理的ハードルを下げさせ、分断と大量虐殺を正当化する。,「人間を殺している」という罪悪感を麻痺させ、「害虫駆除」「農作業」という集団的義務感へとすり替える。,千の丘の自由ラジオ・テレビジョン（RTLM）等のメディアによって組織的に拡散された言語プロパガンダであり、ジェノサイド研究で立証されている歴史的事実。,ラジオ放送等でツチ族を名指しして非難・煽動する時,Inyenzi.（ゴキブリ）,相手を暗闇に潜む害虫として非人間化し、「駆除」されるべき存在として大衆に認識させた。,民兵（インテラハムウェ）が集会でツチ族の殺害を呼びかける時,Inzoka.（ヘビ）,ゴキブリと同様に、油断ならない危険な生き物であり、見つけ次第叩き潰さねばならないという恐怖心を煽るレトリック。,殺害部隊に虐殺の実行（作戦）を指示する時,Gukura ibyatsi.（雑草を抜く）,大量虐殺という残虐行為を、ルワンダ人に馴染み深い「農作業」という肯定的な共同作業の言葉に置き換えた極端な闘争言語。
第4象限,ルワンダ,【事実】,伝統的謎解き遊び「イビサクゾ（Ibisakuzo）」,日常の事物や自然現象を、擬人化や隠喩を用いて表現し、相手に答えを当てさせる伝統的な言葉遊び（なぞなぞ）。,対立を生まない形での子供の言語能力や観察力を養う教育的機能と、夜の団欒における娯楽。,巧妙な比喩の謎が解けたときのアハ体験と、世代間のコミュニケーションによる親密さの向上、退屈な日常からのガス抜き。,口承文学として高く評価されており、ルワンダの伝統的社会において言語の豊かさと創造性を次世代に伝える重要な遊戯的手段であった。,「私の娘たちは皆踊っている」と問いかける時,Abakobwa banjye babyina bose.（答え：Amababi y'urutoki / バナナの葉）,風に揺れるバナナの大きな葉を、一斉に踊る少女たちに見立てた美しい擬人化と遊戯。,「遠くにいるのに、あなたを見ている」と問いかける時,Kari kure ariko karakubona.（答え：Izuba / 太陽）,太陽を、遥か彼方から地上を監視する目や存在として捉える宇宙観の反映。,「キガリで草を食む牛の鳴き声が、ニャンザで聞こえる」と問いかける時,Inka yanjye irisha iKigali nkumva icyogoro cyayo iNyanza.（答え：Igare / 自転車）,自転車のチェーンの音やベルの音を、遠くまで響く牛の鳴き声に例え、近代技術を伝統的語彙で解釈したユーモア。
第1象限,ブルンジ,,NO_DATA,,,,,,,,,,,,,
第2象限,ブルンジ,,NO_DATA,,,,,,,,,,,,,
第3象限,ブルンジ,,NO_DATA,,,,,,,,,,,,,
第4象限,ブルンジ,,NO_DATA,,,,,,,,,,,,,
第1象限,セーシェル,,NO_DATA,,,,,,,,,,,,,
第2象限,セーシェル,,NO_DATA,,,,,,,,,,,,,
第3象限,セーシェル,,NO_DATA,,,,,,,,,,,,,
第4象限,セーシェル,,NO_DATA,,,,,,,,,,,,,
第1象限,コモロ,【事実】,「大婚（Anda）」に基づく称号と階層語彙,最高峰の儀礼「大婚（アンダ）」を完遂したか否かで、男性の社会的呼称や発言権を厳格に区別する言語実践。,莫大な富の再分配を伴う儀式を社会の頂点に置き、村落内の長老支配（ゲロントクラシー）と秩序を強固に維持する。,大婚を終えた者には至上の名誉と特権意識を与え、未達成者には儀式遂行への強烈な動機付け（または劣等感）を抱かせる。,アンダ（大婚）はコモロ社会（特にグランドコモロ島）の根幹をなす慣行であり、称号や言語空間がこの儀式階層に支配されていることは人類学的に広く報告されている。,公共の広場（バンウェ）で政治的な議論や決定が行われる時,Wandru wadzima.（完全な男たち）,大婚を終えた男性のみがこの呼称で呼ばれ、公の場で発言し意思決定に参加する独占的な権利を持つ。,大婚を終え、地域社会における保護者や権威としての立場を強調する時,Wandru wababa.（父なる者たち）,「完全な男」の別称であり、地域社会の父親的な存在として、若年層に対して絶対的な指導力と権威を持つことを示す。,大婚を終えていない若者や成人男性を指し示す時,Wana mdji.（村の子供たち）,実年齢が50代であっても、大婚を終えていなければ社会的には「子供」として扱われ、公的な発言権を持たないという厳しい格付け。
第2象限,コモロ,,NO_DATA,,,,,,,,,,,,,
第3象限,コモロ,,NO_DATA,,,,,,,,,,,,,
第4象限,コモロ,,NO_DATA,,,,,,,,,,,,,
第1象限,マダガスカル,【事実】,Kabary（カバリ）におけるFialan-tsiny（前置き）,公の場でのスピーチ（カバリ）において、本題に入る前に自然界の比喩などを用いて長大で複雑な謝罪やへりくだりの言葉を述べる。,社会秩序とヒエラルキーの維持。聴衆や先祖への敬意の提示。,話者への信頼感と権威の醸成。他者からの非難（tsiny）を未然に防ぐ安心感。,マダガスカルの伝統的な演説様式。言霊への畏怖と先祖への敬意を重視する文化に基づき、言語学・人類学の対象として広く研究されている。,公の場でのスピーチ開始時,"Ny helo-drano fandrian'ny mamba, ny lohasaha fandrian'ny moka ary ny mitondra teny tahaka izao fandrian'ny tsiny.（入り江はワニの寝床、谷は蚊の寝床、そしてこのように言葉を語ることは非難[tsiny]の寝床である）",発言に伴うリスクを自然界の摂理に例え、自らの未熟さを前もって謝罪することで聴衆からの反感を防ぐ。,年長者や権威者の前で発言する際,"Ny akoholahy raha haneno miala kopakopaka, ny akohovavy raha hanatody miala faditrahitra...（雄鶏が鳴く前には羽ばたきをし、雌鶏が産卵する前には巣作りをするように、私が語る前には謝罪をする）",動物の習性を引き合いに出し、発言前の謝罪が社会の不可避の秩序であることを強調し、礼儀を示す。,自らの地位や能力をへりくだる際,Tsy mba ny rofia ravaky ny ala aho...（私は森を飾るラフィアヤシのような立派な存在ではありません）,自身の無力さを強調して自己を下げ、祖先や長老の権威を相対的に高めることで、共同体のヒエラルキーを維持する。
第1象限,モーリシャス,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第1象限,モザンビーク,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第1象限,ザンビア,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第1象限,マラウイ,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第2象限,マダガスカル,【事実】,Ohabolana（オハブラナ：ことわざ）,日常会話やスピーチの中で、自然や動植物にちなんだ比喩的なことわざを頻繁に用いて間接的に意見を伝える。,共同体内の価値観・道徳観の共有と、世代間の知識の伝承。,直接的な摩擦の回避による安心感。仲間意識と連帯感の強化。,マダガスカル語の極めて重要な要素であり、豊かな自然環境と農耕文化が反映され、道徳教育の基盤として広く実在する。,目上の者への態度を諭す際,Ny atody tsy miady amim-bato.（卵は岩と戦わない）,弱者が強者に無謀な戦いを挑むことの愚かさを説き、分をわきまえ共同体の調和を保つよう教訓を垂れる。,陰口や世間体の恐ろしさを語る際,"Ny tsiny toy ny rivotra: mikasika ny tena, fa tsy hita tarehy.（非難は風のようだ。体に触れるが顔は見えない）",目に見えない他者の視線や噂が共同体内でいかに影響力を持つかを比喩で表し、規範から逸脱しないよう促す。,恩知らずな振る舞いを戒める際,Aza mitsipa-doha laka-nitana.（川を渡らせてくれたカヌーを蹴り飛ばしてはいけない）,助けてくれた者への感謝を忘れないことの重要性を説き、共同体内の相互扶助の価値観を共有する。
第2象限,モーリシャス,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第2象限,モザンビーク,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第2象限,ザンビア,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第2象限,マラウイ,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第3象限,マダガスカル,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
第3象限,モーリシャス,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA,NO_DATA
